loop_epoch,test_ratio,llm_ratio,human_MAP5,llm_MAP5,llm_minus_human_MAP5,human_target_MAP5,llm_target_MAP5,llm_target_minus_human_target_MAP5,human_nDCG5,llm_nDCG5,llm_minus_human_nDCG5
1.0,0.0,0.5468571428571428,52.97809523809587,52.68761904761969,-0.290476190476177,26.828571428571273,32.77999999999997,5.9514285714287,64.52836657434628,64.30153811073417,-0.22682846361210807
2.0,0.5323651452282158,0.5331428571428571,48.46857142857191,44.998095238095544,-3.4704761904763686,20.692380952380848,26.71333333333321,6.020952380952362,61.130404374608936,58.46482517073063,-2.665579203878309
3.0,0.5983402489626556,0.5777142857142857,52.54000000000059,49.304761904762394,-3.235238095238195,23.889523809523663,30.11619047619033,6.226666666666667,64.21876472645951,61.7461847843546,-2.4725799421049146
4.0,0.6609958506224066,0.6011428571428571,48.32476190476236,42.395238095238305,-5.929523809524056,16.986666666666608,25.89142857142845,8.904761904761841,61.02023467526696,56.44288507691392,-4.577349598353045
5.0,0.6595435684647303,0.6125714285714285,49.77333333333389,44.76190476190521,-5.011428571428681,17.9761904761904,28.834285714285546,10.858095238095146,62.105460998576035,58.262025928196834,-3.8434350703792006
6.0,0.7134854771784233,0.6028571428571429,46.36000000000045,40.872380952381164,-5.487619047619283,14.27428571428569,25.68190476190463,11.40761904761894,59.50941616772565,55.268493585818426,-4.2409225819072205
7.0,0.6759336099585063,0.5868571428571429,51.267619047619675,47.772380952381475,-3.4952380952382,22.79619047619035,29.40857142857127,6.612380952380921,63.22100473965181,60.54971081387767,-2.671293925774144
8.0,0.6736514522821577,0.6354285714285715,46.4752380952385,41.03714285714304,-5.438095238095464,13.789523809523793,25.99619047619036,12.206666666666568,59.593761639561336,55.39475763993907,-4.1990039996222634
9.0,0.6815352697095436,0.5617142857142857,50.4438095238101,45.263809523809854,-5.180000000000248,21.07047619047607,27.636190476190315,6.565714285714243,62.61086678738982,58.63996849745776,-3.970898289932059
10.0,0.6815352697095436,0.652,45.36095238095278,41.590476190476394,-3.770476190476387,13.700952380952348,26.381904761904657,12.68095238095231,58.74568873359753,55.81543775736457,-2.930250976232962
